Core-index,jlpt,Vocab-expression,Vocab-kana,Vocab-meaning-eng,Nep-meaning,Vocab-pos,Sentence-expression,Sentence-meaning-nep,Sentence-kana,Sentence-meaning-eng,Mnemonic,Explanation
501,JLPT3,技術,ぎじゅつ,"skill, technology","कौशल, प्रविधि",Noun,彼は非常に高い技術を持っている。,उहाँसँग धेरै उच्च स्तरको कौशल छ।,かれ は ひじょう に たかい ぎじゅつ を もって いる,He has very advanced skills.,"गिद्द जुत्ता कल्पना गर्नुहोस् कि एउटा गिद्दले प्रविधिसँग जोडिएको विशेष कौशलको जुत्ता लगाइरहेको छ। यो दृश्य हास्यास्पद छ र सजिलै सम्झन सकिन्छ। यसरी, ""ぎ"" लाई ""गिद्द"" र ""じゅつ"" लाई ""जुत्ता"" सँग जोडेर तपाईं ぎじゅつ (कौशल, प्रविधि) शब्दलाई सजिलै सम्झन सक्नुहुन्छ।","{'word': '技術', 'pronunciation': 'ぎじゅつ', 'meanings': [{'nepali': 'कौशल', 'english': 'skill', 'details': ['कुनै काम वा प्रक्रियामा दक्षता र दक्षताको स्तर।', 'जस्तै - चित्रकलामा कलाकारको कौशल, नृत्यमा नर्तकको कौशल, लेखनमा लेखकको कौशल आदि।']}, {'nepali': 'प्रविधि', 'english': 'technology, method', 'details': ['वैज्ञानिक र प्राविधिक ज्ञानको उपयोग गरेर विकास गरिएको विधि वा उपकरण।', 'जस्तै - कम्प्युटर प्रविधि, सूचना प्रविधि, निर्माण प्रविधि आदि।']}]}"
502,JLPT0,まま,まま,"as is, still (in the current state)","जस्ताको तस्तै, अझै पनि (वर्तमान अवस्थामा)",Noun,電気がついたままですよ。,बत्ती अझै पनि बलिरहेको छ।,でんき が ついた まま です よ,The light is still on.,मामा घरमा जस्तै अझै पनि वर्तमान अवस्थामा। मामा जस्तै।,"{'word': 'まま', 'pronunciation': 'まま', 'meanings': [{'nepali': 'जस्ताको तस्तै', 'english': 'as is', 'details': ['कुनै परिवर्तन नगरी, जस्तो अवस्थामा हो त्यसै।']}, {'nepali': 'अझै पनि (वर्तमान अवस्थामा)', 'english': 'still (in the current state)', 'details': ['वर्तमान अवस्थालाई निरन्तर राखेर।']}]}"
503,JLPT2,完成,かんせい,"completion, finish","सम्पन्नता, समाप्त",Verbal Noun,新しいホームページが完成した。,नयाँ होमपेज सम्पूर्ण भयो।,あたらしい ほーむぺーじ が かんせい した,We finished our new home page.,कानसेई - कानमा सेइ लगाएर केही काम सम्पन्न गरेको दृश्य कल्पना गर्नुहोस्।,"{'word': '完成', 'pronunciation': 'かんせい', 'meanings': [{'nepali': 'सम्पन्नता', 'english': 'completion', 'details': ['कुनै काम वा परियोजनाको सम्पूर्णता।']}, {'nepali': 'समाप्त', 'english': 'finish', 'details': ['कुनै कामको अन्तिम चरण।']}]}"
504,JLPT2,変化,へんか,change,परिवर्तन,Verbal Noun,今年は変化の多い年でした。,यस वर्ष धेरै परिवर्तन भएको वर्ष थियो।,ことし は へんか の おおい とし でした,There was a lot of change this year.,हेन्का - परिवर्तनको बेलामा हेन्जको टमाटर ससलाई बदल्नु पर्ने कल्पना गर्नुहोस्।,"{'word': '変化', 'pronunciation': 'へんか', 'meanings': [{'nepali': 'परिवर्तन', 'english': 'change', 'details': ['कुनै कुरा वा अवस्थामा भएको रूपान्तरण।']}]}"
505,JLPT2,存在,そんざい,"existence, being",अस्तित्व,Verbal Noun,宇宙人は存在すると思いますか。,तपाईंलाई लाग्छ कि एलियन्सको अस्तित्व छ?,うちゅうじん は そんざい する と おもいます か,Do you think that aliens exist?,सोनजाई - एक सोनाजाईको रूपमा अस्तित्वमा रहेको कल्पना गर्नुहोस्।,"{'word': '存在', 'pronunciation': 'そんざい', 'meanings': [{'nepali': 'अस्तित्व', 'english': 'existence', 'details': ['कुनै चीज वा व्यक्तिको वर्तमान अवस्था।']}, {'nepali': 'स्थिति', 'english': 'being', 'details': ['कुनै व्यक्तिको अस्तित्व वा उपस्थिति।']}]}"
506,JLPT2,参加,さんか,participation,सहभागिता,Verbal Noun,明日は市民マラソンに参加します。,भोलि नगर म्याराथनमा सहभागी हुनेछु।,あす は しみん まらそん に さんか します,I'll participate in the citizens' marathon tomorrow.,सानका - एक सानको रूपमा भाग लिने कल्पना गर्नुहोस्।,"{'word': '参加', 'pronunciation': 'さんか', 'meanings': [{'nepali': 'सहभागिता', 'english': 'participation', 'details': ['कुनै गतिविधिमा भाग लिने क्रिया।']}]}"
507,JLPT4,テレビ,テレビ,television,टेलिभिजन,Noun,私はテレビをあまり見ません。,म धेरै टेलिभिजन हेर्दिन।,わたし は てれび を あまり みません,I don't watch much TV.,टेलिभिजनमा टेलीपोर्ट हुने सोचेमा।,"{'word': 'テレビ', 'pronunciation': 'てれび', 'meanings': [{'nepali': 'टेलिभिजन', 'english': 'television', 'details': ['दूरसञ्चार माध्यम जसले आवाज र तस्वीरहरू प्रसारण गर्दछ।']}]}"
508,JLPT2,土地,とち,land,भूमि,Noun,ここは父の土地です。,यो मेरो बुवाको भूमि हो।,ここ は ちち の とち です,This is my father's land.,टोटली आफ्नो भूमि।,"{'word': '土地', 'pronunciation': 'とち', 'meanings': [{'nepali': 'भूमि', 'english': 'land', 'details': ['जमिनको क्षेत्रफल, जुन कुनै व्यक्तिको स्वामित्वमा हुन्छ।']}]}"
509,JLPT2,減る,へる,"decrease, diminish",घट्नु,Verb,体重がかなり減りました。,मेरो तौल धेरै घट्यो।,たいじゅう が かなり へりました,I've lost a lot of weight.,घरेलु काम गर्दा तौल घट्ने।,"{'word': '減る', 'pronunciation': 'へる', 'meanings': [{'nepali': 'घट्नु', 'english': 'decrease, diminish', 'details': ['कुनै वस्तु वा मात्रामा कमी आउनु।']}]}"
510,JLPT2,検討,けんとう,"consideration, inspection","विचार, जाँच",Verbal Noun,今日中にこの問題を検討してください。,कृपया आज यो समस्यालाई विचार गर्नुहोस्।,きょう じゅう に この もんだい を けんとう して ください,Please consider this problem by the end of the day.,कैंटो - कैंटो गरी जाँच गर्ने।,"{'word': '検討', 'pronunciation': 'けんとう', 'meanings': [{'nepali': 'विचार', 'english': 'consideration', 'details': ['कुनै विषयमा गहिरो सोच।']}, {'nepali': 'जाँच', 'english': 'inspection', 'details': ['कुनै वस्तुको जाँच र समीक्षा।']}]}"
511,JLPT3,政治,せいじ,politics,राजनीति,Noun,私は政治に関心がある。,मलाई राजनीतिमा चासो छ।,わたし は せいじ に かんしん が ある,I'm interested in politics.,सेइजी - सेइ (सही) राजनीति।,"{'word': '政治', 'pronunciation': 'せいじ', 'meanings': [{'nepali': 'राजनीति', 'english': 'politics', 'details': ['देश वा समाजको प्रशासनिक प्रणाली।']}]}"
512,JLPT2,実施,じっし,"enforcement, implementation",कार्यान्वयन,Verbal Noun,現在、スペシャルキャンペーンを実施中です。,"हाल, विशेष अभियान कार्यान्वयनमा छ।",げんざい すぺしゃるきゃんぺーん を じっしちゅう です,A special campaign is now under way.,जित्सी - जित्न कार्यान्वयन गर्नु।,"{'word': '実施', 'pronunciation': 'じっし', 'meanings': [{'nepali': 'कार्यान्वयन', 'english': 'enforcement', 'details': ['कुनै योजना वा नियमलाई कार्यान्वयन गर्नु।']}, {'nepali': 'अमल', 'english': 'implementation', 'details': ['कुनै कुरा लागू गर्नु।']}]}"
513,JLPT2,開始,かいし,beginning,सुरू,Verbal Noun,運動会は9時開始です。,खेलकुद प्रतियोगिता बिहान ९ बजे सुरू हुन्छ।,うんどうかい は くじ かいし です,The athletic meet begins at nine o'clock.,कैशी - खेलको शुरूवात।,"{'word': '開始', 'pronunciation': 'かいし', 'meanings': [{'nepali': 'सुरू', 'english': 'beginning', 'details': ['कुनै कामको प्रारम्भ।']}]}"
514,JLPT2,備える,そなえる,"provide for, furnish","तयार गर्नु, व्यवस्था गर्नु",Verb,災害に備えて大量の水を買い込んだ。,प्राकृतिक प्रकोपको तयारीका लागि धेरै पानी किनें।,さいがい に そなえて たいりょう の みず を かいこんだ,I bought large quantities of water to prepare for disasters.,सोनाएरु - सोना (सुन) तैयार गर्ने।,"{'word': '備える', 'pronunciation': 'そなえる', 'meanings': [{'nepali': 'तयार गर्नु', 'english': 'provide for', 'details': ['कुनै स्थिति वा घटनाका लागि तयार हुनु।']}, {'nepali': 'व्यवस्था गर्नु', 'english': 'furnish', 'details': ['आवश्यक वस्तुहरू जुटाउनु।']}]}"
515,JLPT2,輸入,ゆにゅう,import,आयात,Verbal Noun,これはイタリアから輸入した服です。,यो इटालीबाट आयात गरिएको लुगा हो।,これ は いたりあ から ゆにゅう した ふく です,These clothes are imported from Italy.,युन्यु - विदेशी लुगा।,"{'word': '輸入', 'pronunciation': 'ゆにゅう', 'meanings': [{'nepali': 'आयात', 'english': 'import', 'details': ['विदेशी सामान ल्याउनु।']}]}"
516,JLPT0,最大,さいだい,"biggest, largest",सबैभन्दा ठूलो,Noun,これは世界最大の船です。,यो संसारको सबैभन्दा ठूलो जहाज हो।,これ は せかい さいだい の ふね です,This is the world's largest ship.,साइदाई - सबैभन्दा ठूलो साइ (साँचो)।,"{'word': '最大', 'pronunciation': 'さいだい', 'meanings': [{'nepali': 'सबैभन्दा ठूलो', 'english': 'biggest', 'details': ['सबैभन्दा ठूलो आकार वा परिमाण।']}, {'nepali': 'विशाल', 'english': 'largest', 'details': ['विस्तृत वा महान् परिमाण।']}]}"
517,JLPT3,競争,きょうそう,competition,प्रतिस्पर्धा,Verbal Noun,2社は互いに競争している。,दुई कम्पनीहरू एकअर्कासँग प्रतिस्पर्धा गर्दैछन्।,にしゃ は たがい に きょうそう して いる,Two companies are competing with each other.,क्युसो - क्यूसो (चाउचाउ) प्रतिस्पर्धामा।,"{'word': '競争', 'pronunciation': 'きょうそう', 'meanings': [{'nepali': 'प्रतिस्पर्धा', 'english': 'competition', 'details': ['कुनै लक्ष्यमा पुग्न दुई वा दुईभन्दा बढी व्यक्तिहरू बीचको संघर्ष।']}]}"
518,JLPT2,部分,ぶぶん,"part, section","भाग, खण्ड",Noun,この部分は問題ないです。,यो भाग समस्यामुक्त छ।,この ぶぶん は もんだい ない です,There's no problem with this part.,बु-फन - बुफन (फूल) को भाग।,"{'word': '部分', 'pronunciation': 'ぶぶん', 'meanings': [{'nepali': 'भाग', 'english': 'part', 'details': ['कुनै वस्तु वा संरचनाको एउटा हिस्सा।']}, {'nepali': 'खण्ड', 'english': 'section', 'details': ['कुनै वस्तु वा संरचनाको उपविभाग।']}]}"
519,JLPT4,消える,きえる,"be extinguished, disappear","मेटिनु, हराउनु",Verb,突然、電気が消えた。,अचानक बत्ती मेटियो।,とつぜん でんき が きえた,Suddenly the electricity went out.,किएरु - किला (नेपाली कागती) हराउनु।,"{'word': '消える', 'pronunciation': 'きえる', 'meanings': [{'nepali': 'मेटिनु', 'english': 'be extinguished', 'details': ['केही वस्तु वा उज्यालो बन्द हुनु।']}, {'nepali': 'हराउनु', 'english': 'disappear', 'details': ['कुनै वस्तु वा व्यक्ति दृश्यबाट हट्नु।']}]}"
520,JLPT4,家族,かぞく,"family, household","परिवार, घर",Noun,うちは五人家族です。,हामी पाँच जनाको परिवार हौं।,うち は ごにん かぞく です,We're a family of five.,काजोक - काज (पर्खाल) मा जोक परिवार।,"{'word': '家族', 'pronunciation': 'かぞく', 'meanings': [{'nepali': 'परिवार', 'english': 'family', 'details': ['रक्त सम्बन्ध वा विवाहद्वारा सम्बन्धित व्यक्तिहरूको समूह।']}, {'nepali': 'घर', 'english': 'household', 'details': ['एउटै घरमा बस्ने व्यक्तिहरूको समूह।']}]}"
521,JLPT2,内容,ないよう,contents,"सामग्री, विषयवस्तु",Noun,この本の内容を説明してください。,यस पुस्तकको सामग्री वर्णन गर्नुहोस्।,この ほん の ないよう を せつめい して ください,Please explain the content of this book.,नाइयो - नायको सामग्री।,"{'word': '内容', 'pronunciation': 'ないよう', 'meanings': [{'nepali': 'सामग्री', 'english': 'contents', 'details': ['कुनै वस्तु वा लेखको सामग्री वा विवरण।']}, {'nepali': 'विषयवस्तु', 'english': 'subject matter', 'details': ['कुनै लेख, पुस्तक वा छलफलको मुख्य विषय।']}]}"
522,JLPT3,比べる,くらべる,"compare, contrast",तुलना गर्नु,Verb,今月と先月の売上を比べた。,यो महिना र गत महिनाको बिक्री तुलना गरियो।,こんげつ と せんげつ の うりあげ を くらべた,I compared this month's sales with last month's.,कुराबेरु - कुरो (बात) को तुलना।,"{'word': '比べる', 'pronunciation': 'くらべる', 'meanings': [{'nepali': 'तुलना गर्नु', 'english': 'compare', 'details': ['दुई वा दुई भन्दा बढी वस्तुहरूका विशेषताहरूको तुलना गर्नु।']}, {'nepali': 'मूल्याङ्कन गर्नु', 'english': 'contrast', 'details': ['दुई वा दुई भन्दा बढी वस्तुहरूको भिन्नता तुलना गर्नु।']}]}"
523,JLPT4,生まれる,うまれる,"be born, come into existence",जन्मनु,Verb,姉夫婦に男の子が生まれました。,मेरो दिदीभिनाजुको एउटा छोरा जन्मियो।,あね ふうふ に おとこのこ が うまれました,My sister and her husband had a baby boy.,उमारेरे - उमारे (फुल्ने) समय जन्मनु।,"{'word': '生まれる', 'pronunciation': 'うまれる', 'meanings': [{'nepali': 'जन्मनु', 'english': 'be born', 'details': ['कुनै व्यक्तिको जन्म हुनु।']}, {'nepali': 'उत्पन्न हुनु', 'english': 'come into existence', 'details': ['कुनै नयाँ वस्तु वा विचारको उत्पत्ति हुनु।']}]}"
524,JLPT2,与える,あたえる,give,दिनु,Verb,そのニュースは彼に大きなショックを与えた。,त्यो समाचारले उसलाई ठूलो झटका दियो।,その にゅーす は かれ に おおき な しょっく を あたえた,The news gave him a great shock.,अताएरे - अताए (अतिका) धेरै दिनु।,"{'word': '与える', 'pronunciation': 'あたえる', 'meanings': [{'nepali': 'दिनु', 'english': 'give', 'details': ['कसैलाई केही प्रदान गर्नु।']}, {'nepali': 'प्रभाव पार्नु', 'english': 'affect', 'details': ['कुनै कुरा वा घटना कसैमा प्रभाव पार्नु।']}]}"
525,JLPT1,選挙,せんきょ,election,निर्वाचन,Verbal Noun,彼は選挙に出るつもりだ。,उहाँ निर्वाचनमा उठ्न चाहनुहुन्छ।,かれ は せんきょ に でる つもり だ,He intends to run in the election.,सेनक्यो - सेना (फौज) निर्वाचनमा।,"{'word': '選挙', 'pronunciation': 'せんきょ', 'meanings': [{'nepali': 'निर्वाचन', 'english': 'election', 'details': ['जनताले आफ्नो प्रतिनिधि चयन गर्न मतदान गर्ने प्रक्रिया।']}]}"
526,JLPT2,対立,たいりつ,"opposition, antagonism","विरोध, प्रतिद्वन्द्विता",Verbal Noun,その2社は対立しています。,ती दुई कम्पनीहरू एकअर्काको विरोधमा छन्।,その にしゃ は たいりつ して います,The two companies are against each other.,ताइरित्सु - ताइ (उडान) गर्ने विरोध।,"{'word': '対立', 'pronunciation': 'たいりつ', 'meanings': [{'nepali': 'विरोध', 'english': 'opposition', 'details': ['कुनै विचार, प्रस्ताव वा व्यक्तिको विरोध गर्नु।']}, {'nepali': 'प्रतिद्वन्द्विता', 'english': 'antagonism', 'details': ['दुई वा दुईभन्दा बढी पक्षहरूको बीचमा हुने प्रतिद्वन्द्विता।']}]}"
527,JLPT3,理由,りゆう,"reason, cause",कारण,Noun,遅れた理由を教えてください。,किन ढिलो भएको भन्ने कारण बताउनुहोस्।,おくれた りゆう を おしえて ください,Please tell me why you were late.,रियु - रेलको कारण।,"{'word': '理由', 'pronunciation': 'りゆう', 'meanings': [{'nepali': 'कारण', 'english': 'reason', 'details': ['कुनै घटनाको कारण।']}, {'nepali': 'कारक', 'english': 'cause', 'details': ['कुनै परिणाम ल्याउने कारक।']}]}"
528,JLPT2,構成,こうせい,organization,"संरचना, संगठन",Verbal Noun,システムの構成を変えてみました。,मैले प्रणालीको संरचना परिवर्तन गरें।,しすてむ の こうせい を かえて みました,I've tried to reorganize the system.,कोसे - कोसे बिस्कुट संरचना।,"{'word': '構成', 'pronunciation': 'こうせい', 'meanings': [{'nepali': 'संरचना', 'english': 'organization', 'details': ['कुनै वस्तुको बनावट वा संरचना।']}, {'nepali': 'संगठन', 'english': 'constitution', 'details': ['कुनै समूह वा प्रणालीको गठन।']}]}"
529,JLPT2,管理,かんり,"management, administration","व्यवस्थापन, प्रशासन",Verbal Noun,彼女が私のスケジュールを管理している。,उहाँले मेरो तालिका व्यवस्थापन गर्नुहुन्छ।,かのじょ が わたし の すけじゅーる を かんり して いる,She manages my schedule.,कानरी - कानमा रिंग (छेड्न) व्यवस्थापन गर्नु।,"{'word': '管理', 'pronunciation': 'かんり', 'meanings': [{'nepali': 'व्यवस्थापन', 'english': 'management', 'details': ['स्रोतहरू, प्रक्रियाहरू, र मानिसहरूको समुचित नियन्त्रण र समन्वय।']}, {'nepali': 'प्रशासन', 'english': 'administration', 'details': ['कुनै संगठन वा प्रणालीको सञ्चालन र व्यवस्थापन।']}]}"
530,JLPT2,増加,ぞうか,"increase, gain",वृद्धि,Verbal Noun,島の人口は年々増加しています。,द्वीपको जनसंख्या हरेक वर्ष बढ्दैछ।,しま の じんこう は ねんねん ぞうか して います,The population of the island increases every year.,जोक (जोकर) द्वारा जनसंख्या वृद्धि।,"{'word': '増加', 'pronunciation': 'ぞうか', 'meanings': [{'nepali': 'वृद्धि', 'english': 'increase', 'details': ['कुनै वस्तु, परिमाण, वा जनसंख्याको बृद्धि।']}, {'nepali': 'वृद्धि हुनु', 'english': 'gain', 'details': ['परिमाणमा वृद्धि हुनु।']}]}"
531,JLPT1,改革,かいかく,reform,सुधार,Verbal Noun,彼は行政を改革したいと思っている。,उहाँ प्रशासनलाई सुधार गर्न चाहनुहुन्छ।,かれ は ぎょうせい を かいかく したい と おもって いる,He wants to reform the administration.,कैकाकु - काई (कीरा) सुधार गर्नु।,"{'word': '改革', 'pronunciation': 'かいかく', 'meanings': [{'nepali': 'सुधार', 'english': 'reform', 'details': ['कुनै प्रणाली, संगठन, वा प्रक्रियामा सुधार गर्नु।']}]}"
532,JLPT1,会談,かいだん,"conversation, meeting","वार्ता, बैठक",Verbal Noun,会談の内容が発表されました。,वार्ताको सामग्री घोषणा गरियो।,かいだん の ないよう が はっぴょう されました,The content of the talks was announced.,कैदान - काई (सीढी) मा वार्ता।,"{'word': '会談', 'pronunciation': 'かいだん', 'meanings': [{'nepali': 'वार्ता', 'english': 'conversation', 'details': ['दुई वा दुईभन्दा बढी व्यक्तिहरू बीचको औपचारिक छलफल।']}, {'nepali': 'बैठक', 'english': 'meeting', 'details': ['कुनै विशेष उद्देश्यका लागि आयोजना गरिएको सभा।']}]}"
533,JLPT0,会長,かいちょう,"president, chairperson","अध्यक्ष, सभापति",Noun,初めに会長が挨拶した。,पहिले अध्यक्षले अभिवादन गर्नुभयो।,はじめ に かいちょう が あいさつ した,First was the chairman's greetings.,कैचो - कै (हात) चोप्ने अध्यक्ष।,"{'word': '会長', 'pronunciation': 'かいちょう', 'meanings': [{'nepali': 'अध्यक्ष', 'english': 'president', 'details': ['कुनै संगठनको प्रमुख।']}, {'nepali': 'सभापति', 'english': 'chairperson', 'details': ['कुनै सभा वा समितिको अध्यक्षता गर्ने व्यक्ति।']}]}"
534,JLPT1,ソフト,ソフト,"software, programme",सफ्टवेयर,Noun,このソフトで日本語を勉強することができます。,यो सफ्टवेयरले जापानी भाषा सिक्न सकिन्छ।,この そふと で にほんご を べんきょう する こと が できます,You can study Japanese with this software.,सफ्ट - सफ्टवेयर।,"{'word': 'ソフト', 'pronunciation': 'そふと', 'meanings': [{'nepali': 'सफ्टवेयर', 'english': 'software', 'details': ['कम्प्युटर प्रोग्रामहरू र डेटा।']}]}"
535,JLPT1,提供,ていきょう,"offer, provide","प्रदान, प्रस्ताव",Verbal Noun,彼がパーティー会場を提供してくれました。,उहाँले पार्टी स्थल प्रदान गर्नुभयो।,かれ が ぱーてぃー かいじょう を ていきょう して くれました,He provided us with the venue for the party.,तेईक्यो - टेई (टे) को प्रस्ताव।,"{'word': '提供', 'pronunciation': 'ていきょう', 'meanings': [{'nepali': 'प्रदान', 'english': 'offer', 'details': ['कुनै सेवा वा वस्तु प्रदान गर्नु।']}, {'nepali': 'प्रस्ताव', 'english': 'provide', 'details': ['आवश्यकताहरू पूरा गर्ने प्रस्ताव गर्नु।']}]}"
536,JLPT2,ただ,ただ,free,निःशुल्क,Noun,この温泉はただです。,यो तातोपानी निःशुल्क छ।,この おんせん は ただ です,This hot spring is free.,तादा - ताज (मुकुट) निःशुल्क।,"{'word': 'ただ', 'pronunciation': 'ただ', 'meanings': [{'nepali': 'निःशुल्क', 'english': 'free', 'details': ['कुनै मूल्य नलाग्ने।']}]}"
537,JLPT2,これら,これら,these,यी,Noun,今日はこれらの問題について話し合います。,आज हामी यी समस्याहरूको बारेमा छलफल गर्छौं।,きょう は これら の もんだい に ついて はなしあいます,We will discuss these issues today.,कोरेरा - को (कुनै) रे (रेखा) रा (र) यी।,"{'word': 'これら', 'pronunciation': 'これら', 'meanings': [{'nepali': 'यी', 'english': 'these', 'details': ['कुनै निश्चित कुराहरू।']}]}"
538,JLPT2,広がる,ひろがる,"spread out, reach","फैलिनु, पुग्नु",Verb,留学してから私の世界が広がった。,विद्यार्थी भएपछि मेरो संसार फैलियो।,りゅうがく して から わたし の せかい が ひろがった,My world expanded after studying abroad.,हिरोगारु - हिरो (विस्तार) गर्ने फैलिने।,"{'word': '広がる', 'pronunciation': 'ひろがる', 'meanings': [{'nepali': 'फैलिनु', 'english': 'spread out', 'details': ['कुनै कुरा विस्तार हुनु।']}, {'nepali': 'पुग्नु', 'english': 'reach', 'details': ['कुनै कुरा विस्तार भएर पुग्नु।']}]}"
539,JLPT2,特徴,とくちょう,"distinctive feature, characteristic","विशेषता, चरित्र",Noun,この曲線がこの車の特徴です。,यो कारको यो वक्र रेखा यसको विशेषता हो।,この きょくせん が この くるま の とくちょう です,These curves are a unique feature of this car.,तोकुचो - तोकु (टोकेको) चरित्र।,"{'word': '特徴', 'pronunciation': 'とくちょう', 'meanings': [{'nepali': 'विशेषता', 'english': 'distinctive feature', 'details': ['कुनै वस्तु वा व्यक्तिको विशेष गुण।']}, {'nepali': 'चरित्र', 'english': 'characteristic', 'details': ['कुनै वस्तु वा व्यक्तिको विशिष्टता।']}]}"
540,JLPT3,調べる,しらべる,"investigate, check","अनुसन्धान गर्नु, जाँच गर्नु",Verb,この単語の意味を辞書で調べましょう。,यस शब्दको अर्थ शब्दकोशमा जाँचौं।,この たんご の いみ を じしょ で しらべましょう,Let's look up the meaning of this word in the dictionary.,शिराबेरु - शिर (टाउको) मा अनुसन्धान गर्नु।,"{'word': '調べる', 'pronunciation': 'しらべる', 'meanings': [{'nepali': 'अनुसन्धान गर्नु', 'english': 'investigate', 'details': ['कुनै विषय वा समस्याको बारेमा गहिरो अनुसन्धान गर्नु।']}, {'nepali': 'जाँच गर्नु', 'english': 'check', 'details': ['कुनै वस्तु वा कुराको सटीकता वा स्थिति जाँच गर्नु।']}]}"
541,JLPT2,強調,きょうちょう,"emphasis, stress","जोड, बलियो बनाउनु",Verbal Noun,彼は良いところだけを強調した。,उहाँले राम्रो पक्ष मात्र जोड दिनुभयो।,かれ は よい ところ だけ を きょうちょう した,He only emphasized the strong points.,क्योचो - क्यो (क्यो) जोड दिनु।,"{'word': '強調', 'pronunciation': 'きょうちょう', 'meanings': [{'nepali': 'जोड', 'english': 'emphasis', 'details': ['कुनै कुरा वा बिन्दुलाई जोड दिनु।']}, {'nepali': 'बलियो बनाउनु', 'english': 'stress', 'details': ['कुनै कुरा वा बिन्दुलाई विशेष महत्व दिनु।']}]}"
542,JLPT2,制度,せいど,"system, organization","प्रणाली, संगठन",Noun,来年から新しい制度が始まります。,भोलि नयाँ प्रणाली सुरु हुनेछ।,らいねん から あたらしい せいど が はじまります,A new system will start from next year.,सेइदो - सेइ (सही) प्रणाली।,"{'word': '制度', 'pronunciation': 'せいど', 'meanings': [{'nepali': 'प्रणाली', 'english': 'system', 'details': ['कुनै संस्था वा समाजको सञ्चालनको विधि वा संरचना।']}, {'nepali': 'संगठन', 'english': 'organization', 'details': ['कुनै संस्था वा समाजको संरचना।']}]}"
543,JLPT2,方針,ほうしん,"course, policy","नीति, दिशा",Noun,今後の方針が決まった。,अबको नीति निर्णय भयो।,こんご の ほうしん が きまった,We've decided our future policy.,होशिन - हो (हो) नीति।,"{'word': '方針', 'pronunciation': 'ほうしん', 'meanings': [{'nepali': 'नीति', 'english': 'policy', 'details': ['कुनै संस्थाको लक्ष्य वा उद्देश्य पूरा गर्ने योजना।']}, {'nepali': 'दिशा', 'english': 'course', 'details': ['कुनै योजना वा मार्गनिर्देशनको दिशा।']}]}"
544,JLPT1,従来,じゅうらい,"former, old","पूर्व, पुरानो",Noun,このプリンターは従来のものより速い。,यो प्रिन्टर पुरानो भन्दा छिटो छ।,この ぷりんたー は じゅうらい の もの より はやい,This printer prints faster than previous models.,जुराइ - जुराउने पुरानो तरिका।,"{'word': '従来', 'pronunciation': 'じゅうらい', 'meanings': [{'nepali': 'पूर्व', 'english': 'former', 'details': ['पहिलेको समय वा अवस्था।']}, {'nepali': 'पुरानो', 'english': 'old', 'details': ['पहिलेको वा अघिल्लो।']}]}"
545,JLPT2,いずれ,いずれ,"eventually, sometime","अन्ततः, कहिले",Adverb,いずれまたお会いしましょう。,कहिले फेरि भेटौं।,いずれ また おあい しましょう,Let's meet again sometime.,इजुरे - इजु (बाँसुरी) को कहिले।,"{'word': 'いずれ', 'pronunciation': 'いずれ', 'meanings': [{'nepali': 'अन्ततः', 'english': 'eventually', 'details': ['अन्ततः कुनै समयमा।']}, {'nepali': 'कहिले', 'english': 'sometime', 'details': ['अज्ञात समयमा।']}]}"
546,JLPT3,事故,じこ,"accident, incident","दुर्घटना, घटना",Noun,彼は事故で怪我をしました。,उहाँ दुर्घटनामा घाइते हुनुभयो।,かれ は じこ で けが を しました,He was injured in the accident.,जिको - जीको (जी) दुर्घटना।,"{'word': '事故', 'pronunciation': 'じこ', 'meanings': [{'nepali': 'दुर्घटना', 'english': 'accident', 'details': ['अकस्मात हुने दुर्घटना।']}, {'nepali': 'घटना', 'english': 'incident', 'details': ['विशेष घटना वा अवस्था।']}]}"
