Core-index,jlpt,Vocab-expression,Vocab-kana,Vocab-meaning-eng,Nep-meaning,Vocab-pos,Sentence-expression,Sentence-meaning-nep,Sentence-kana,Sentence-meaning-eng,Mnemonic,Explanation
547,JLPT4,電話,でんわ,"telephone, phone call","टेलिफोन, फोन कल",Verbal Noun,あとで電話します。,पछि फोन गर्छु।,あとで でんわ します,I will call you later.,डेनवा - डेन (दिन) मा फोन।,"{'word': '電話', 'pronunciation': 'でんわ', 'meanings': [{'nepali': 'टेलिफोन', 'english': 'telephone', 'details': ['दूरसञ्चारको साधन।']}, {'nepali': 'फोन कल', 'english': 'phone call', 'details': ['फोनबाट गरिने कल।']}]}"
548,JLPT4,外国,がいこく,foreign country,विदेशी देश,Noun,母はまだ外国に行ったことがありません。,आमालाई अझै विदेश जानु भएको छैन।,はは は まだ がいこく に いった こと が ありません,My mother hasn't been abroad yet.,गाइकोकु - गाई (गाई) विदेशमा।,"{'word': '外国', 'pronunciation': 'がいこく', 'meanings': [{'nepali': 'विदेशी देश', 'english': 'foreign country', 'details': ['आफ्नो देश बाहिरको कुनै पनि देश।']}]}"
549,JLPT2,目的,もくてき,"object, purpose","उद्देश्य, उद्देश्यपूर्ण",Noun,彼が来た目的が分かりません。,उहाँ किन आए भन्ने मलाई थाहा छैन।,かれ が きた もくてき が わかりません,I don't know the purpose of his visit.,मोकुटेकी - मोकु (मौका) उद्देश्य।,"{'word': '目的', 'pronunciation': 'もくてき', 'meanings': [{'nepali': 'उद्देश्य', 'english': 'object', 'details': ['कुनै कार्यको लक्ष्य वा उद्देश्य।']}, {'nepali': 'उद्देश्यपूर्ण', 'english': 'purpose', 'details': ['कुनै कार्य वा गतिविधिको मुख्य कारण।']}]}"
550,JLPT3,自由,じゆう,freedom,स्वतन्त्रता,Adjectival Noun,今日は自由な時間が多い。,आजको दिन स्वतन्त्र समय छ।,きょう は じゆう な じかん が おおい,I have a lot of free time today.,जियु - जि (जी) यू (तिमी) स्वतन्त्र।,"{'word': '自由', 'pronunciation': 'じゆう', 'meanings': [{'nepali': 'स्वतन्त्रता', 'english': 'freedom', 'details': ['बिना प्रतिबन्धको अवस्था।']}]}"
551,JLPT1,資金,しきん,"funds, capital","पूँजी, रकम",Noun,私たちは今、結婚資金を貯めています。,हामी अहिले विवाहको लागि पूँजी जम्मा गर्दैछौं।,わたしたち は いま けっこん しきん を ためて います,We're saving for the wedding now.,सिकिन - सिकिन (सिकेर) पूँजी।,"{'word': '資金', 'pronunciation': 'しきん', 'meanings': [{'nepali': 'पूँजी', 'english': 'funds', 'details': ['आर्थिक स्रोतहरू।']}, {'nepali': 'रकम', 'english': 'capital', 'details': ['व्यवसायमा लगानीको लागि चाहिने आर्थिक स्रोत।']}]}"
552,JLPT4,銀行,ぎんこう,bank,बैंक,Noun,銀行は3時まで開いています。,बैंक तीन बजेसम्म खुल्छ।,ぎんこう は さんじ まで あいて います,The bank is open until three o'clock.,गिन्को - गिन (गिन्ती) गर्ने बैंक।,"{'word': '銀行', 'pronunciation': 'ぎんこう', 'meanings': [{'nepali': 'बैंक', 'english': 'bank', 'details': ['आर्थिक कारोबारको लागि संस्था।']}]}"
553,JLPT2,事実,じじつ,"fact, truth","तथ्य, साँचो कुरा",Noun,それは全て事実ですか。,यो सबै साँचो हो?,それ は すべて じじつ です か,Is it all true?,जिजित्सु - जी (जी) को तथ्य।,"{'word': '事実', 'pronunciation': 'じじつ', 'meanings': [{'nepali': 'तथ्य', 'english': 'fact', 'details': ['कुनै कुरा वा घटनाको वास्तविकता।']}, {'nepali': 'साँचो कुरा', 'english': 'truth', 'details': ['कुनै कुरा वा घटनाको सत्यता।']}]}"
554,JLPT2,決定,けってい,"decision, settlement","निर्णय, स्थिरता",Verbal Noun,会議で重要な決定がありました。,बैठकमा महत्वपूर्ण निर्णय गरियो।,かいぎ で じゅうよう な けってい が ありました,An important decision was made at the conference.,केतेई - के (के) को निर्णय।,"{'word': '決定', 'pronunciation': 'けってい', 'meanings': [{'nepali': 'निर्णय', 'english': 'decision', 'details': ['कुनै कार्य वा योजनाको लागि लिइएको अन्तिम निर्णय।']}, {'nepali': 'स्थिरता', 'english': 'settlement', 'details': ['कुनै विवाद वा मुद्दाको अन्तिम स्थिरता।']}]}"
555,JLPT2,方向,ほうこう,"direction, course","दिशा, मार्ग",Noun,あの人たちは皆、同じ方向を見ている。,ती सबै व्यक्ति एउटै दिशामा हेरिरहेका छन्।,あの ひとたち は みな おなじ ほうこう を みて いる,Those people are all looking in the same direction.,होकौ - हो (हो) को दिशा।,"{'word': '方向', 'pronunciation': 'ほうこう', 'meanings': [{'nepali': 'दिशा', 'english': 'direction', 'details': ['कुनै स्थान वा गन्तव्यको दिशा।']}, {'nepali': 'मार्ग', 'english': 'course', 'details': ['कुनै कार्य वा यात्रा गर्ने मार्ग।']}]}"
556,JLPT2,住宅,じゅうたく,"housing, residence","आवास, निवास",Noun,ここは静かな住宅地だ。,यो शान्त आवासीय क्षेत्र हो।,ここ は しずかな じゅうたくち だ,This is a quiet residential area.,जुताकु - जुत्ता (जुत्ता) को आवास।,"{'word': '住宅', 'pronunciation': 'じゅうたく', 'meanings': [{'nepali': 'आवास', 'english': 'housing', 'details': ['बसेर बस्ने स्थान।']}, {'nepali': 'निवास', 'english': 'residence', 'details': ['रहने स्थान।']}]}"
557,JLPT2,代表,だいひょう,representative,प्रतिनिधि,Verbal Noun,彼がクラスの代表だ。,उहाँ कक्षाको प्रतिनिधि हुनुहुन्छ।,かれ が くらす の だいひょう だ,He's the class representative.,दाइह्यो - दाइ (भाइ) को प्रतिनिधि।,"{'word': '代表', 'pronunciation': 'だいひょう', 'meanings': [{'nepali': 'प्रतिनिधि', 'english': 'representative', 'details': ['कुनै समूहको प्रतिनिधित्व गर्ने व्यक्ति।']}]}"
558,JLPT2,激しい,はげしい,"violent, intense","भीषण, तीव्र",Adjective,激しい雨が降っています。,भीषण वर्षा भइरहेको छ।,はげしい あめ が ふって います,A very heavy rain is falling.,हागशी - हागो (हल्ला) भीषण।,"{'word': '激しい', 'pronunciation': 'はげしい', 'meanings': [{'nepali': 'भीषण', 'english': 'violent', 'details': ['धेरै बलियो वा उग्र।']}, {'nepali': 'तीव्र', 'english': 'intense', 'details': ['धेरै शक्तिशाली वा उग्र।']}]}"
559,JLPT2,株,かぶ,"stocks, shares","सेयर, शेयर",Noun,最近株を始めました。,भर्खर सेयर कारोबार सुरु गरें।,さいきん かぶ を はじめました,I recently started investing in stocks.,काबु - काबु (नियन्त्रण) सेयर।,"{'word': '株', 'pronunciation': 'かぶ', 'meanings': [{'nepali': 'सेयर', 'english': 'stocks', 'details': ['कुनै कम्पनीको स्वामित्वको हिस्सा।']}, {'nepali': 'शेयर', 'english': 'shares', 'details': ['कुनै कम्पनीको स्वामित्वको हिस्सा।']}]}"
560,JLPT1,交渉,こうしょう,"negotiation, bargaining","वार्ता, मोलमोलाई",Verbal Noun,今、値段を交渉しています。,म अहिले मूल्यमा मोलमोलाई गरिरहेको छु।,いま ねだん を こうしょう して います,We're currently negotiating the price.,कोशो - को (कस) को वार्ता।,"{'word': '交渉', 'pronunciation': 'こうしょう', 'meanings': [{'nepali': 'वार्ता', 'english': 'negotiation', 'details': ['दुई पक्षबीचको छलफल।']}, {'nepali': 'मोलमोलाई', 'english': 'bargaining', 'details': ['मूल्य वा सर्तहरूमा सम्झौता गर्ने प्रक्रिया।']}]}"
561,JLPT2,結果,けっか,"result, outcome",परिणाम,Noun,試合の結果を早く知りたい。,म खेलको परिणाम चाँडै जान्न चाहन्छु।,しあい の けっか を はやく しりたい,I want to know soon the results of the game.,केक्का - के (के) को परिणाम।,"{'word': '結果', 'pronunciation': 'けっか', 'meanings': [{'nepali': 'परिणाम', 'english': 'result', 'details': ['कुनै कार्य वा घटनाको अन्तिम स्थिति।']}, {'nepali': 'निष्कर्ष', 'english': 'outcome', 'details': ['कुनै प्रक्रिया वा घटनाको अन्तिम स्थिति।']}]}"
562,JLPT2,全体,ぜんたい,"whole, total","समग्र, कुल",Noun,全体の80パーセントが完成しました。,समग्रको ८० प्रतिशत पूरा भयो।,ぜんたい の はちじゅっぱーせんと が かんせい しました,80 percent of the total was completed.,जेन्ताई - जे (जो) अन्तै (सबै) समग्र।,"{'word': '全体', 'pronunciation': 'ぜんたい', 'meanings': [{'nepali': 'समग्र', 'english': 'whole', 'details': ['कुनै वस्तु वा समूहको सम्पूर्ण।']}, {'nepali': 'कुल', 'english': 'total', 'details': ['कुनै वस्तु वा समूहको पूर्ण परिमाण।']}]}"
563,JLPT2,後,のち,"after, afterwards","पछि, पछाडि",Noun,後に彼は総理大臣になりました。,पछि उहाँ प्रधानमन्त्री बन्नुभयो।,のち に かれ は そうり だいじん に なりました,He would later become Prime Minister.,अतो - अ (अ) तो (पछाडि) पछि।,"{'word': '後', 'pronunciation': 'あと', 'meanings': [{'nepali': 'पछि', 'english': 'after', 'details': ['कुनै समय वा घटनाको पछाडि।']}, {'nepali': 'पछाडि', 'english': 'afterwards', 'details': ['कुनै समय वा घटनाको पछाडि।']}]}"
564,JLPT2,命令,めいれい,"command, order",आदेश,Verbal Noun,彼女は命令に従わなかった。,उहाँले आदेश पालना गर्नुभएन।,かのじょ は めいれい に したがわなかった,She did not obey orders.,मेइरेई - मेइ (म) र (र) ई (ई) आदेश।,"{'word': '命令', 'pronunciation': 'めいれい', 'meanings': [{'nepali': 'आदेश', 'english': 'command', 'details': ['कुनै उच्च अधिकारी वा व्यक्तिबाट दिइएको निर्देशन।']}, {'nepali': 'आदेश', 'english': 'order', 'details': ['कुनै कार्य वा गतिविधिका लागि दिइएको निर्देशन।']}]}"
565,JLPT3,十分,じゅうぶん,"full, plentiful","प्रचुर, पर्याप्त",Adjectival Noun,お金はまだ十分あります。,पैसा अझै पनि प्रचुर छ।,おかね は まだ じゅうぶん あります,We still have plenty of money.,जुबुन - जु (जू) बन (बन) प्रचुर।,"{'word': '十分', 'pronunciation': 'じゅうぶん', 'meanings': [{'nepali': 'प्रचुर', 'english': 'plentiful', 'details': ['प्रचुर मात्रामा भएको।']}, {'nepali': 'पर्याप्त', 'english': 'sufficient', 'details': ['कुनै आवश्यकता वा उद्देश्य पूरा गर्न पर्याप्त।']}]}"
566,JLPT4,あまり,あまり,(not) much,"त्यति, धेरै",Adverb,このビールはあまり美味しくありません。,यो बियर त्यति मिठो छैन।,この びーる は あまり おいしく ありません,This beer isn't very good.,अमारी - आ (अ) मारी (मारे) त्यति।,"{'word': 'あまり', 'pronunciation': 'あまり', 'meanings': [{'nepali': 'त्यति', 'english': '(not) much', 'details': ['कुनै कुरा त्यति धेरै नभएको।']}, {'nepali': 'धेरै', 'english': 'much', 'details': ['धेरै मात्रामा।']}]}"
567,JLPT2,経営,けいえい,"management, operation",व्यवस्थापन,Verbal Noun,我が社の経営はうまくいっています。,हाम्रो कम्पनीको व्यवस्थापन राम्रो छ।,わがしゃ の けいえい は うまく いって います,Our company is well managed.,केईएइ - के (के) आइ (आए) व्यवस्थापन।,"{'word': '経営', 'pronunciation': 'けいえい', 'meanings': [{'nepali': 'व्यवस्थापन', 'english': 'management', 'details': ['स्रोतहरू, प्रक्रियाहरू, र मानिसहरूको समुचित नियन्त्रण र समन्वय।']}, {'nepali': 'सञ्चालन', 'english': 'operation', 'details': ['कुनै व्यवसाय वा संगठनको सञ्चालन।']}]}"
568,JLPT3,原因,げんいん,"cause, origin","कारण, उत्पत्ति",Noun,この事故の原因は何ですか。,यो दुर्घटनाको कारण के हो?,このじこ の げんいん は なん です か,What's the cause of the accident?,गेनिन - गे (ग) इन (भित्र) कारण।,"{'word': '原因', 'pronunciation': 'げんいん', 'meanings': [{'nepali': 'कारण', 'english': 'cause', 'details': ['कुनै घटनाको उत्पत्तिको मुख्य कारण।']}, {'nepali': 'उत्पत्ति', 'english': 'origin', 'details': ['कुनै वस्तु वा घटनाको उत्पत्ति।']}]}"
569,JLPT4,写真,しゃしん,photograph,"फोटो, तस्बिर",Noun,写真は良い思い出になります。,फोटो राम्रो सम्झना हुन्छ।,しゃしん は いい おもいで に なります,Photographs make a good souvenir.,शाशिन - शा (साँ) शिन (शिन) फोटो।,"{'word': '写真', 'pronunciation': 'しゃしん', 'meanings': [{'nepali': 'फोटो', 'english': 'photograph', 'details': ['कुनै दृश्य वा व्यक्तिको छायाचित्र।']}, {'nepali': 'तस्बिर', 'english': 'picture', 'details': ['कुनै दृश्य वा व्यक्तिको छायाचित्र।']}]}"
570,JLPT2,立場,たちば,"standpoint, position","स्थिति, दृष्टिकोण",Noun,彼女は自分の立場を分かっていない。,उहाँ आफ्नो स्थिति बुझ्नुहुन्न।,かのじょ は じぶん の たちば を わかって いない,She doesn't understand her position.,ताचिबा - ता (ता) चि (ची) बा (बा) स्थिति।,"{'word': '立場', 'pronunciation': 'たちば', 'meanings': [{'nepali': 'स्थिति', 'english': 'standpoint', 'details': ['कुनै विशेष दृष्टिकोण वा स्थिति।']}, {'nepali': 'दृष्टिकोण', 'english': 'position', 'details': ['कुनै विशेष दृष्टिकोण वा स्थिति।']}]}"
571,JLPT2,対策,たいさく,"measure, action","उपाय, उपाय योजना",Noun,一緒に対策を考えましょう。,संगै उपाय योजना गरौं।,いっしょ に たいさく を かんがえましょう,Let's think together about what measures we'll take.,ताइसाकु - ता (ता) इ (ई) साकु (सक्ने) उपाय।,"{'word': '対策', 'pronunciation': 'たいさく', 'meanings': [{'nepali': 'उपाय', 'english': 'measure', 'details': ['कुनै समस्याको समाधानका लागि लिइएको उपाय।']}, {'nepali': 'उपाय योजना', 'english': 'action', 'details': ['कुनै समस्याको समाधानका लागि गरिने कार्य।']}]}"
572,JLPT2,繰り返す,くりかえす,repeat,"पुनरावृत्ति गर्नु, दोहोर्याउनु",Verb,彼女は同じ間違いを繰り返した。,उहाँले उस्तै गल्ती पुनरावृत्ति गरिन्।,かのじょ は おなじ まちがい を くりかえした,She repeated the same mistake.,कुरिकासु - कु (कु) रि (रिसाउने) पुनरावृत्ति।,"{'word': '繰り返す', 'pronunciation': 'くりかえす', 'meanings': [{'nepali': 'पुनरावृत्ति गर्नु', 'english': 'repeat', 'details': ['कुनै क्रिया वा प्रक्रियालाई फेरि गर्नु।']}, {'nepali': 'दोहोर्याउनु', 'english': 'reiterate', 'details': ['कुनै कुरा फेरि भनिनु वा गरिनु।']}]}"
573,JLPT2,評価,ひょうか,"evaluation, appraisal","मूल्याङ्कन, प्रशंसा",Verbal Noun,最近、彼の評価が上がった。,हालै उहाँको मूल्याङ्कन बढेको छ।,さいきん かれ の ひょうか が あがった,He's been receiving more recognition lately.,ह्योक - ह्या (ह्याउँदै) क (कुनै) मूल्याङ्कन।,"{'word': '評価', 'pronunciation': 'ひょうか', 'meanings': [{'nepali': 'मूल्याङ्कन', 'english': 'evaluation', 'details': ['कुनै वस्तु, व्यक्ति वा प्रक्रियाको गुणस्तर वा मूल्य निर्धारण।']}, {'nepali': 'प्रशंसा', 'english': 'appraisal', 'details': ['कुनै वस्तु वा व्यक्तिको गुणस्तर वा मूल्यको प्रशंसा।']}]}"
574,JLPT2,なお,なお,"still, in addition","अझै, थप",Adverb,なお、雨の場合は中止です。,"अझै, वर्षा भएमा रद्द गरिनेछ।",なお あめ の ばあい は ちゅうし です,"Moreover, it will be canceled in the event of rain.",नाओ - नाव (डुंगा) अझै।,"{'word': 'なお', 'pronunciation': 'なお', 'meanings': [{'nepali': 'अझै', 'english': 'still', 'details': ['अहिलेसम्म पनि।']}, {'nepali': 'थप', 'english': 'in addition', 'details': ['अर्को कुरा थप गर्नु।']}]}"
575,JLPT2,計算,けいさん,calculation,"गणना, हिसाब",Verbal Noun,その計算は間違っている。,यो गणना गलत छ।,その けいさん は まちがって いる,That calculation is wrong.,केइसान - केई (के) सान (सानो) गणना।,"{'word': '計算', 'pronunciation': 'けいさん', 'meanings': [{'nepali': 'गणना', 'english': 'calculation', 'details': ['कुनै संख्याको हिसाब गर्नु।']}, {'nepali': 'हिसाब', 'english': 'accounting', 'details': ['अर्थ सम्बन्धी गणना।']}]}"
576,JLPT1,投資,とうし,investment,लगानी,Verbal Noun,私は4つの会社に投資しています。,मैले चारवटा कम्पनीमा लगानी गरेको छु।,わたし は よっつ の かいしゃ に とうし して います,I'm investing in four companies.,तोशी - तो (तो) शी (सिलिन्डर) लगानी।,"{'word': '投資', 'pronunciation': 'とうし', 'meanings': [{'nepali': 'लगानी', 'english': 'investment', 'details': ['कुनै कम्पनी वा परियोजनामा पैसा लगाउनु।']}]}"
577,JLPT2,可能,かのう,"possible, potential",संभव,Adjectival Noun,20キロのダイエットは可能だと思いますか。,२० किलो तौल घटाउनु सम्भव छ भनी तपाईं सोच्नुहुन्छ?,にじゅっきろ の だいえっと は かのう だ と おもいます か,Do you think it's possible to go on a twenty kilogram diet?,कानो - कान (कान) को सम्भव।,"{'word': '可能', 'pronunciation': 'かのう', 'meanings': [{'nepali': 'संभव', 'english': 'possible', 'details': ['केही गर्न सकिने।']}, {'nepali': 'संभावना', 'english': 'potential', 'details': ['केही गर्न सकिने सम्भावना।']}]}"
578,JLPT2,加える,くわえる,"add, include","थप्नु, समावेश गर्नु",Verb,塩、コショウを加えてください。,"नुन, मरिच थप्नुहोस्।",しお こしょう を くわえて ください,Please add the salt and pepper.,कूवाएरे - कुवा (कु) थप्नु।,"{'word': '加える', 'pronunciation': 'くわえる', 'meanings': [{'nepali': 'थप्नु', 'english': 'add', 'details': ['केही कुरा थप्नु।']}, {'nepali': 'समावेश गर्नु', 'english': 'include', 'details': ['केही कुरा समावेश गर्नु।']}]}"
579,JLPT2,種類,しゅるい,"kind, species","प्रकार, जात",Noun,バラには色々な種類があります。,गुलाबका विभिन्न प्रकार छन्।,ばら に は いろいろ な しゅるい が あります,There are many varieties of rose.,शुरुई - सुरु (सुरु) प्रकार।,"{'word': '種類', 'pronunciation': 'しゅるい', 'meanings': [{'nepali': 'प्रकार', 'english': 'kind', 'details': ['कुनै वस्तुको विविधता।']}, {'nepali': 'जात', 'english': 'species', 'details': ['जीवहरूको विविधता।']}]}"
580,JLPT2,強化,きょうか,strengthening,"मजबूत, सुदृढ",Verbal Noun,国は国語教育を強化しています。,देशले मातृभाषा शिक्षालाई सुदृढ गरिरहेको छ।,くに は こくご きょういく を きょうか して います,Our government is strengthening its program in native language education.,क्योक - क्यो (क्यो) का (का) सुदृढ।,"{'word': '強化', 'pronunciation': 'きょうか', 'meanings': [{'nepali': 'मजबूत', 'english': 'strengthening', 'details': ['केही कुरा अझ बलियो बनाउनु।']}, {'nepali': 'सुदृढ', 'english': 'reinforcement', 'details': ['केही कुरा अझ बलियो बनाउन थप्नु।']}]}"
581,JLPT3,意見,いけん,opinion,"विचार, मत",Noun,あなたの意見が聞きたいです。,तपाईंको विचार सुन्न चाहन्छु।,あなた の いけん が ききたい です,I want to hear your opinion.,इकेन - इ (ई) केन (कन) विचार।,"{'word': '意見', 'pronunciation': 'いけん', 'meanings': [{'nepali': 'विचार', 'english': 'opinion', 'details': ['कुनै विषयमा व्यक्त गरिएको विचार।']}, {'nepali': 'मत', 'english': 'view', 'details': ['कुनै विषयमा व्यक्त गरिएको दृष्टिकोण।']}]}"
582,JLPT1,伴う,ともなう,"accompany, go with","साथमा हुनु, साथमा लिने",Verb,その仕事は危険を伴う。,त्यो काम खतरासँग हुन्छ।,その しごと は きけん を ともなう,Danger comes with the job.,तोमोनाउ - तोमो (साथी) सँग साथमा।,"{'word': '伴う', 'pronunciation': 'ともなう', 'meanings': [{'nepali': 'साथमा हुनु', 'english': 'accompany', 'details': ['कुनै कुराको साथमा हुनु।']}, {'nepali': 'साथमा लिने', 'english': 'go with', 'details': ['कुनै कुराको साथमा जानु।']}]}"
583,JLPT4,新聞,しんぶん,newspaper,समाचारपत्र,Noun,今日の新聞、どこに置いた?,आजको समाचारपत्र कहाँ राखिएको छ?,きょう の しんぶん どこ に おいた,Where did you put today's newspaper?,शिन्बुन - शिन (शिन) बुन (बुन) समाचारपत्र।,"{'word': '新聞', 'pronunciation': 'しんぶん', 'meanings': [{'nepali': 'समाचारपत्र', 'english': 'newspaper', 'details': ['समाचार र जानकारी दिने छापिएको पत्र।']}]}"
584,JLPT2,文章,ぶんしょう,"writing, prose","लेखन, गद्य",Noun,彼は文章がとてもうまい。,उहाँको लेखन धेरै राम्रो छ।,かれ は ぶんしょう が とても うまい,His writing is very good.,बुंशो - बु (बु) शो (शो) लेखन।,"{'word': '文章', 'pronunciation': 'ぶんしょう', 'meanings': [{'nepali': 'लेखन', 'english': 'writing', 'details': ['लेखिएको सामग्री।']}, {'nepali': 'गद्य', 'english': 'prose', 'details': ['गद्यमा लेखिएको साहित्य।']}]}"
585,JLPT2,目立つ,めだつ,"stand out, be conspicuous",目立つ,Verb,彼女の大きな帽子はとても目立つ。,उहाँको ठूलो टोपी धेरै目立つ।,かのじょ の おおき な ぼうし は とても めだつ,Her big hat really stands out.,मेदात्सु - म (म) दात्सु (दाँत)目立つ।,"{'word': '目立つ', 'pronunciation': 'めだつ', 'meanings': [{'nepali': '目立つ', 'english': 'stand out', 'details': ['धेरै राम्रोसँग目立つ।']}, {'nepali': 'प्रमुख हुनु', 'english': 'be conspicuous', 'details': ['सजिलै देखिनु वा目立つ。']}]}"
586,JLPT2,設計,せっけい,"design, plan","डिजाइन, योजना",Verbal Noun,兄は船の設計をしています。,भाइ जहाज डिजाइन गर्छन्।,あに は ふね の せっけい を して います,My big brother is designing a ship.,सेक्केई - से (से) केई (के) डिजाइन।,"{'word': '設計', 'pronunciation': 'せっけい', 'meanings': [{'nepali': 'डिजाइन', 'english': 'design', 'details': ['कुनै वस्तु वा संरचनाको डिजाइन।']}, {'nepali': 'योजना', 'english': 'plan', 'details': ['कुनै वस्तु वा परियोजनाको योजना।']}]}"
587,JLPT2,構造,こうぞう,"construction, structure",संरचना,Noun,この建物の構造は複雑です。,यो भवनको संरचना जटिल छ।,この たてもの の こうぞう は ふくざつ です,The structure of this building is complex.,कोजो - को (को) जो (जो) संरचना।,"{'word': '構造', 'pronunciation': 'こうぞう', 'meanings': [{'nepali': 'संरचना', 'english': 'construction', 'details': ['कुनै वस्तु वा संरचनाको निर्माण।']}, {'nepali': 'संरचना', 'english': 'structure', 'details': ['कुनै वस्तु वा संरचनाको संरचना।']}]}"
588,JLPT2,国会,こっかい,"National Diet, parliament",राष्ट्रिय संसद,Noun,国会が再開した。,राष्ट्रिय संसद पुनः सुरु भयो।,こっかい が さいかい した,The Diet reconvened.,कोक्काई - को (को) काई (काई) राष्ट्रिय संसद।,"{'word': '国会', 'pronunciation': 'こっかい', 'meanings': [{'nepali': 'राष्ट्रिय संसद', 'english': 'National Diet', 'details': ['कुनै देशको राष्ट्रिय संसद।']}, {'nepali': 'संसद', 'english': 'parliament', 'details': ['कुनै देशको संसद।']}]}"
589,JLPT2,ほぼ,ほぼ,"almost, nearly",लगभग,Adverb,仕事がほぼ終わりました。,काम लगभग समाप्त भयो।,しごと が ほぼ おわりました,My work is almost finished.,हबो - हो (हो) बो (बो) लगभग।,"{'word': 'ほぼ', 'pronunciation': 'ほぼ', 'meanings': [{'nepali': 'लगभग', 'english': 'almost', 'details': ['कुनै कुरा लगभग पूरा हुनु।']}, {'nepali': 'लगभग', 'english': 'nearly', 'details': ['कुनै कुरा लगभग पूरा हुनु।']}]}"
590,JLPT2,相手,あいて,opponent,"प्रतिद्वन्द्वी, साथी",Noun,試合の相手は誰ですか。,खेलको प्रतिद्वन्द्वी को हो?,しあい の あいて は だれ です か,Who are they playing against?,आइते - आ (आ) इ (ई) ते (ते) प्रतिद्वन्द्वी।,"{'word': '相手', 'pronunciation': 'あいて', 'meanings': [{'nepali': 'प्रतिद्वन्द्वी', 'english': 'opponent', 'details': ['खेल वा प्रतिस्पर्धामा प्रतिस्पर्धा गर्ने व्यक्ति।']}, {'nepali': 'साथी', 'english': 'partner', 'details': ['कुनै कार्य वा गतिविधिमा सहभागी व्यक्ति।']}]}"
591,JLPT1,発生,はっせい,"occurrence, happening","घटना, घटित हुनु",Verbal Noun,交差点で事故が発生した。,चोकमा दुर्घटना भयो।,こうさてん で じこ が はっせい した,There was an accident at the intersection.,हास्सेई - हा (हा) सेई (सेई) घटना।,"{'word': '発生', 'pronunciation': 'はっせい', 'meanings': [{'nepali': 'घटना', 'english': 'occurrence', 'details': ['कुनै घटना हुनु।']}, {'nepali': 'घटित हुनु', 'english': 'happening', 'details': ['कुनै घटना घटित हुनु।']}]}"
592,JLPT1,採用,さいよう,employment,"भर्ना, रोजगारी",Verbal Noun,その会社は女性を多く採用している。,त्यो कम्पनीले धेरै महिलालाई भर्ना गरेको छ।,その かいしゃ は じょせい を おおく さいよう して いる,This company employs many women.,साइयो - साइ (साई) यो (यो) भर्ना।,"{'word': '採用', 'pronunciation': 'さいよう', 'meanings': [{'nepali': 'भर्ना', 'english': 'employment', 'details': ['कुनै कम्पनी वा संस्थामा काममा लगाउनु।']}, {'nepali': 'रोजगारी', 'english': 'recruitment', 'details': ['कुनै कम्पनी वा संस्थामा नयाँ कर्मचारी भर्ना गर्नु।']}]}"
593,JLPT3,残る,のこる,"remain, be left over",बाँकी रहनु,Verb,料理がたくさん残りました。,धेरै खाना बाँकी रह्यो।,りょうり が たくさん のこりました,A lot of food was left over.,नोकुरु - नो (नो) कु (कु) रु (रु) बाँकी।,"{'word': '残る', 'pronunciation': 'のこる', 'meanings': [{'nepali': 'बाँकी रहनु', 'english': 'remain', 'details': ['कुनै कुरा बाँकी रहनु।']}, {'nepali': 'बाँकी रहनु', 'english': 'be left over', 'details': ['कुनै कुरा बाँकी रहनु।']}]}"
594,JLPT2,段階,だんかい,stage,चरण,Noun,この段階では、決断するのはまだ早い。,"यस चरणमा, निर्णय गर्न अझै चाँडो छ।",この だんかい で は けつだん する の は まだ はやい,"At this stage, it is still early to decide.",डान्काइ - डान (डान) काइ (काई) चरण।,"{'word': '段階', 'pronunciation': 'だんかい', 'meanings': [{'nepali': 'चरण', 'english': 'stage', 'details': ['कुनै प्रक्रिया वा कार्यको चरण।']}, {'nepali': 'चरण', 'english': 'phase', 'details': ['कुनै प्रक्रिया वा कार्यको चरण।']}]}"
595,JLPT2,報告,ほうこく,report,रिपोर्ट,Verbal Noun,昨日の会議について報告があります。,हिजोको बैठकको बारेमा रिपोर्ट छ।,きのう の かいぎ に ついて ほうこく が あります,There's a report about yesterday's conference.,होकोक - हो (हो) कोक (कोक) रिपोर्ट।,"{'word': '報告', 'pronunciation': 'ほうこく', 'meanings': [{'nepali': 'रिपोर्ट', 'english': 'report', 'details': ['कुनै घटनाको लेखाजोखा।']}, {'nepali': 'रिपोर्ट', 'english': 'documentation', 'details': ['कुनै घटनाको लेखाजोखा।']}]}"
